dataset,run_id,run_available,ablation_role,row_role,method,selection_method,token_setting,candidate_pool_factor,lambda_relevance,threshold_tau,record_selection_similarity,subset_seed,subset_size,sample_count,accuracy,f1,correct,stage8_sparse_baseline_run_id,sparse_wrong_count,recovered_baseline_failures,recovery_rate,regressions_vs_baseline,net_gain,pairwise_available_count,mean_pairwise_similarity,p90_pairwise_similarity,similarity_above_0.85_ratio,mean_bbox_area_ratio,mean_grid_occupancy_ratio,mean_distance_to_centroid,notes
gqa,GQA-STAGE8-SPARSE-ORIG-64,false,general_ablation_gqa,required_general_comparison,SparseVLM-Original,topk,64,2,0.8,0.85,true,20260610,500,,,,,,,,,,,,,,,,,,required Stage 8 GQA/POPE subset run pending
gqa,GQA-STAGE8-OURS-64-P2-L08,false,general_ablation_gqa,required_general_baseline,Ours,mmr,64,2,0.8,0.85,true,20260610,500,,,,,GQA-STAGE8-SPARSE-ORIG-64,,,,,,,,,,,,,required Stage 8 GQA/POPE subset run pending
gqa,GQA-STAGE8-THRESHOLD-FIXED-64,false,general_ablation_gqa,required_general_comparison,Threshold-Fixed-k,threshold_fixed,64,2,0.8,0.85,true,20260610,500,,,,,GQA-STAGE8-SPARSE-ORIG-64,,,,,,,,,,,,,required Stage 8 GQA/POPE subset run pending
gqa,GQA-STAGE8-OURS-64-P2-L05,false,general_ablation_gqa,required_general_ablation,Ours,mmr,64,2,0.5,0.85,true,20260610,500,,,,,GQA-STAGE8-SPARSE-ORIG-64,,,,,,,,,,,,,required Stage 8 GQA/POPE subset run pending
gqa,GQA-STAGE8-OURS-64-P2-L07,false,general_ablation_gqa,required_general_ablation,Ours,mmr,64,2,0.7,0.85,true,20260610,500,,,,,GQA-STAGE8-SPARSE-ORIG-64,,,,,,,,,,,,,required Stage 8 GQA/POPE subset run pending
gqa,GQA-STAGE8-OURS-64-P3-L05,false,general_ablation_gqa,required_general_ablation,Ours,mmr,64,3,0.5,0.85,true,20260610,500,,,,,GQA-STAGE8-SPARSE-ORIG-64,,,,,,,,,,,,,required Stage 8 GQA/POPE subset run pending
gqa,GQA-STAGE8-OURS-64-P3-L07,false,general_ablation_gqa,required_general_ablation,Ours,mmr,64,3,0.7,0.85,true,20260610,500,,,,,GQA-STAGE8-SPARSE-ORIG-64,,,,,,,,,,,,,required Stage 8 GQA/POPE subset run pending
pope,POPE-STAGE8-SPARSE-ORIG-64,false,general_ablation_pope,required_general_comparison,SparseVLM-Original,topk,64,2,0.8,0.85,true,20260610,500,,,,,,,,,,,,,,,,,,required Stage 8 GQA/POPE subset run pending
pope,POPE-STAGE8-OURS-64-P2-L08,false,general_ablation_pope,required_general_baseline,Ours,mmr,64,2,0.8,0.85,true,20260610,500,,,,,POPE-STAGE8-SPARSE-ORIG-64,,,,,,,,,,,,,required Stage 8 GQA/POPE subset run pending
pope,POPE-STAGE8-THRESHOLD-FIXED-64,false,general_ablation_pope,required_general_comparison,Threshold-Fixed-k,threshold_fixed,64,2,0.8,0.85,true,20260610,500,,,,,POPE-STAGE8-SPARSE-ORIG-64,,,,,,,,,,,,,required Stage 8 GQA/POPE subset run pending
pope,POPE-STAGE8-OURS-64-P2-L05,false,general_ablation_pope,required_general_ablation,Ours,mmr,64,2,0.5,0.85,true,20260610,500,,,,,POPE-STAGE8-SPARSE-ORIG-64,,,,,,,,,,,,,required Stage 8 GQA/POPE subset run pending
pope,POPE-STAGE8-OURS-64-P2-L07,false,general_ablation_pope,required_general_ablation,Ours,mmr,64,2,0.7,0.85,true,20260610,500,,,,,POPE-STAGE8-SPARSE-ORIG-64,,,,,,,,,,,,,required Stage 8 GQA/POPE subset run pending
pope,POPE-STAGE8-OURS-64-P3-L05,false,general_ablation_pope,required_general_ablation,Ours,mmr,64,3,0.5,0.85,true,20260610,500,,,,,POPE-STAGE8-SPARSE-ORIG-64,,,,,,,,,,,,,required Stage 8 GQA/POPE subset run pending
pope,POPE-STAGE8-OURS-64-P3-L07,false,general_ablation_pope,required_general_ablation,Ours,mmr,64,3,0.7,0.85,true,20260610,500,,,,,POPE-STAGE8-SPARSE-ORIG-64,,,,,,,,,,,,,required Stage 8 GQA/POPE subset run pending
failure_mining,FM-STAGE8-OURS-64-P2-L05,false,targeted_failure_recovery,optional_failure_ablation,Ours,mmr,64,2,0.5,0.85,true,,,,,,,FM-SPARSE-ORIG-64,,,,,,,,,,,,,optional failure-mining stress-test run pending
failure_mining,FM-STAGE8-OURS-64-P2-L07,false,targeted_failure_recovery,optional_failure_ablation,Ours,mmr,64,2,0.7,0.85,true,,,,,,,FM-SPARSE-ORIG-64,,,,,,,,,,,,,optional failure-mining stress-test run pending
failure_mining,FM-STAGE8-OURS-64-P3-L05,false,targeted_failure_recovery,optional_failure_ablation,Ours,mmr,64,3,0.5,0.85,true,,,,,,,FM-SPARSE-ORIG-64,,,,,,,,,,,,,optional failure-mining stress-test run pending
failure_mining,FM-STAGE8-OURS-64-P3-L07,false,targeted_failure_recovery,optional_failure_ablation,Ours,mmr,64,3,0.7,0.85,true,,,,,,,FM-SPARSE-ORIG-64,,,,,,,,,,,,,optional failure-mining stress-test run pending
