dataset,token_setting,layer_idx,pair,run_id_a,run_id_b,sample_count,mean_overlap_count,mean_overlap_ratio_a,mean_overlap_ratio_b,mean_jaccard_overlap
failure_mining,128,15,ours_vs_sparse,FM-OURS-128,FM-SPARSE-ORIG-128,100,20.150000,0.612992,0.595337,0.439793
failure_mining,128,15,threshold_fixed_vs_sparse,FM-THRESHOLD-FIXED-128,FM-SPARSE-ORIG-128,100,15.210000,0.468245,0.450182,0.302472
failure_mining,128,15,ours_vs_threshold_fixed,FM-OURS-128,FM-THRESHOLD-FIXED-128,100,16.120000,0.491364,0.495830,0.331794
failure_mining,128,2,ours_vs_sparse,FM-OURS-128,FM-SPARSE-ORIG-128,100,188.680000,0.622706,0.622706,0.455509
failure_mining,128,2,threshold_fixed_vs_sparse,FM-THRESHOLD-FIXED-128,FM-SPARSE-ORIG-128,100,245.340000,0.809703,0.809703,0.685762
failure_mining,128,2,ours_vs_threshold_fixed,FM-OURS-128,FM-THRESHOLD-FIXED-128,100,221.020000,0.729439,0.729439,0.577376
failure_mining,128,6,ours_vs_sparse,FM-OURS-128,FM-SPARSE-ORIG-128,100,57.680000,0.540214,0.556393,0.383670
failure_mining,128,6,threshold_fixed_vs_sparse,FM-THRESHOLD-FIXED-128,FM-SPARSE-ORIG-128,100,48.000000,0.454799,0.462837,0.300284
failure_mining,128,6,ours_vs_threshold_fixed,FM-OURS-128,FM-THRESHOLD-FIXED-128,100,62.210000,0.582968,0.589392,0.416606
failure_mining,64,15,ours_vs_sparse,FM-OURS-64,FM-SPARSE-ORIG-64,100,9.760000,0.645338,0.622697,0.474031
failure_mining,64,15,threshold_fixed_vs_sparse,FM-THRESHOLD-FIXED-64,FM-SPARSE-ORIG-64,100,6.280000,0.417460,0.401720,0.262875
failure_mining,64,15,ours_vs_threshold_fixed,FM-OURS-64,FM-THRESHOLD-FIXED-64,100,7.200000,0.475238,0.479767,0.320226
failure_mining,64,2,ours_vs_sparse,FM-OURS-64,FM-SPARSE-ORIG-64,100,38.240000,0.579394,0.579394,0.409915
failure_mining,64,2,threshold_fixed_vs_sparse,FM-THRESHOLD-FIXED-64,FM-SPARSE-ORIG-64,100,31.050000,0.470455,0.470455,0.310820
failure_mining,64,2,ours_vs_threshold_fixed,FM-OURS-64,FM-THRESHOLD-FIXED-64,100,43.490000,0.658939,0.658939,0.496601
failure_mining,64,6,ours_vs_sparse,FM-OURS-64,FM-SPARSE-ORIG-64,100,14.860000,0.569250,0.555991,0.398029
failure_mining,64,6,threshold_fixed_vs_sparse,FM-THRESHOLD-FIXED-64,FM-SPARSE-ORIG-64,100,11.860000,0.446115,0.443450,0.291269
failure_mining,64,6,ours_vs_threshold_fixed,FM-OURS-64,FM-THRESHOLD-FIXED-64,100,13.340000,0.509788,0.503287,0.343800
gqa,128,15,ours_vs_sparse,GQA-OURS-128,GQA-SPARSE-ORIG-128,5000,20.037200,0.607982,0.594167,0.437204
gqa,128,15,threshold_fixed_vs_sparse,GQA-THRESHOLD-FIXED-128,GQA-SPARSE-ORIG-128,5000,15.527800,0.477267,0.460524,0.309641
gqa,128,15,ours_vs_threshold_fixed,GQA-OURS-128,GQA-THRESHOLD-FIXED-128,5000,16.184000,0.491252,0.497530,0.331816
gqa,128,2,ours_vs_sparse,GQA-OURS-128,GQA-SPARSE-ORIG-128,5000,186.131400,0.614295,0.614295,0.445916
gqa,128,2,threshold_fixed_vs_sparse,GQA-THRESHOLD-FIXED-128,GQA-SPARSE-ORIG-128,5000,237.001800,0.782184,0.782184,0.648353
gqa,128,2,ours_vs_threshold_fixed,GQA-OURS-128,GQA-THRESHOLD-FIXED-128,5000,223.193800,0.736613,0.736613,0.585479
gqa,128,6,ours_vs_sparse,GQA-OURS-128,GQA-SPARSE-ORIG-128,5000,57.684400,0.541494,0.555480,0.383194
gqa,128,6,threshold_fixed_vs_sparse,GQA-THRESHOLD-FIXED-128,GQA-SPARSE-ORIG-128,5000,49.941400,0.473485,0.480893,0.315826
gqa,128,6,ours_vs_threshold_fixed,GQA-OURS-128,GQA-THRESHOLD-FIXED-128,5000,62.289400,0.584983,0.590611,0.418057
gqa,64,15,ours_vs_sparse,GQA-OURS-64,GQA-SPARSE-ORIG-64,5000,9.507000,0.626037,0.616739,0.458070
gqa,64,15,threshold_fixed_vs_sparse,GQA-THRESHOLD-FIXED-64,GQA-SPARSE-ORIG-64,5000,6.442800,0.429126,0.416848,0.272789
gqa,64,15,ours_vs_threshold_fixed,GQA-OURS-64,GQA-THRESHOLD-FIXED-64,5000,7.441000,0.489044,0.496198,0.332749
gqa,64,2,ours_vs_sparse,GQA-OURS-64,GQA-SPARSE-ORIG-64,5000,37.719400,0.571506,0.571506,0.402461
gqa,64,2,threshold_fixed_vs_sparse,GQA-THRESHOLD-FIXED-64,GQA-SPARSE-ORIG-64,5000,31.856400,0.482673,0.482673,0.320914
gqa,64,2,ours_vs_threshold_fixed,GQA-OURS-64,GQA-THRESHOLD-FIXED-64,5000,44.639600,0.676358,0.676358,0.516200
gqa,64,6,ours_vs_sparse,GQA-OURS-64,GQA-SPARSE-ORIG-64,5000,14.543600,0.557148,0.550494,0.388123
