dataset,token_setting,method,selection_method,run_id,layer_idx,sample_count,pairwise_available_count,pairwise_available,mean_pairwise_similarity_token_count,mean_mean_pairwise_similarity,mean_median_pairwise_similarity,mean_max_pairwise_similarity,mean_p90_pairwise_similarity,mean_similarity_above_0.80_ratio,mean_similarity_above_0.85_ratio,mean_similarity_above_0.90_ratio
failure_mining,128,Ours,mmr,FM-OURS-128,15,100,0,false,,,,,,,,
failure_mining,128,Ours,mmr,FM-OURS-128,2,100,0,false,,,,,,,,
failure_mining,128,Ours,mmr,FM-OURS-128,6,100,0,false,,,,,,,,
failure_mining,128,SparseVLM-Original,topk,FM-SPARSE-ORIG-128,15,100,0,false,,,,,,,,
failure_mining,128,SparseVLM-Original,topk,FM-SPARSE-ORIG-128,2,100,0,false,,,,,,,,
failure_mining,128,SparseVLM-Original,topk,FM-SPARSE-ORIG-128,6,100,0,false,,,,,,,,
failure_mining,128,Threshold-Fixed-k,threshold_fixed,FM-THRESHOLD-FIXED-128,15,100,0,false,,,,,,,,
failure_mining,128,Threshold-Fixed-k,threshold_fixed,FM-THRESHOLD-FIXED-128,2,100,0,false,,,,,,,,
failure_mining,128,Threshold-Fixed-k,threshold_fixed,FM-THRESHOLD-FIXED-128,6,100,0,false,,,,,,,,
failure_mining,64,Ours,mmr,FM-OURS-64,15,100,0,false,,,,,,,,
failure_mining,64,Ours,mmr,FM-OURS-64,2,100,0,false,,,,,,,,
failure_mining,64,Ours,mmr,FM-OURS-64,6,100,0,false,,,,,,,,
failure_mining,64,Ours,mmr,FM-STAGE8-OURS-64-P2-L05,15,100,100,true,17.000000,0.211813,0.185489,0.888106,0.409538,0.012794,0.012279,0.012059
failure_mining,64,Ours,mmr,FM-STAGE8-OURS-64-P2-L05,2,100,100,true,66.000000,0.284010,0.249791,0.990961,0.582521,0.020014,0.008872,0.003482
failure_mining,64,Ours,mmr,FM-STAGE8-OURS-64-P2-L05,6,100,100,true,30.000000,0.240920,0.224145,0.976484,0.509876,0.010322,0.008920,0.008575
failure_mining,64,Ours,mmr,FM-STAGE8-OURS-64-P2-L07,15,100,100,true,17.000000,0.210999,0.139149,0.977790,0.470685,0.042353,0.040735,0.039853
failure_mining,64,Ours,mmr,FM-STAGE8-OURS-64-P2-L07,2,100,100,true,66.000000,0.274825,0.237563,0.996077,0.574820,0.020634,0.010294,0.005529
failure_mining,64,Ours,mmr,FM-STAGE8-OURS-64-P2-L07,6,100,100,true,30.000000,0.226874,0.196496,0.992986,0.506653,0.020575,0.018184,0.016989
failure_mining,64,Ours,mmr,FM-STAGE8-OURS-64-P3-L05,15,100,100,true,17.000000,0.198434,0.168137,0.845604,0.390037,0.010221,0.010000,0.009927
failure_mining,64,Ours,mmr,FM-STAGE8-OURS-64-P3-L05,2,100,100,true,66.000000,0.291064,0.268987,0.982320,0.564543,0.008639,0.003203,0.002303
failure_mining,64,Ours,mmr,FM-STAGE8-OURS-64-P3-L05,6,100,100,true,30.000000,0.229917,0.222024,0.952486,0.469052,0.007012,0.006690,0.006598
failure_mining,64,Ours,mmr,FM-STAGE8-OURS-64-P3-L07,15,100,100,true,17.000000,0.200996,0.126809,0.979769,0.447978,0.038677,0.037574,0.037059
failure_mining,64,Ours,mmr,FM-STAGE8-OURS-64-P3-L07,2,100,100,true,66.000000,0.282057,0.257544,0.992737,0.558045,0.009837,0.004858,0.004005
failure_mining,64,Ours,mmr,FM-STAGE8-OURS-64-P3-L07,6,100,100,true,30.000000,0.215163,0.192415,0.988866,0.465653,0.015609,0.014506,0.014115
failure_mining,64,SparseVLM-Original,topk,FM-SPARSE-ORIG-64,15,100,0,false,,,,,,,,
failure_mining,64,SparseVLM-Original,topk,FM-SPARSE-ORIG-64,2,100,0,false,,,,,,,,
failure_mining,64,SparseVLM-Original,topk,FM-SPARSE-ORIG-64,6,100,0,false,,,,,,,,
failure_mining,64,Threshold-Adaptive,threshold_adaptive,FM-THRESHOLD-ADAPT-080,15,100,0,false,,,,,,,,
failure_mining,64,Threshold-Adaptive,threshold_adaptive,FM-THRESHOLD-ADAPT-080,2,100,0,false,,,,,,,,
failure_mining,64,Threshold-Adaptive,threshold_adaptive,FM-THRESHOLD-ADAPT-080,6,100,0,false,,,,,,,,
failure_mining,64,Threshold-Adaptive,threshold_adaptive,FM-THRESHOLD-ADAPT-085,15,100,0,false,,,,,,,,
failure_mining,64,Threshold-Adaptive,threshold_adaptive,FM-THRESHOLD-ADAPT-085,2,100,0,false,,,,,,,,
