dataset,token_setting,method,selection_method,run_id,layer_idx,sample_count,mean_unique_patch_count,mean_duplicate_patch_index_count,mean_bbox_area_ratio,mean_grid_occupancy_ratio,mean_distance_to_centroid,mean_quadrant_coverage_count
failure_mining,128,Ours,mmr,FM-OURS-128,15,100,32.810000,0.000000,0.926875,0.056962,8.215401,3.990000
failure_mining,128,Ours,mmr,FM-OURS-128,2,100,303.000000,0.000000,0.999583,0.526042,8.211814,4.000000
failure_mining,128,Ours,mmr,FM-OURS-128,6,100,106.740000,0.000000,0.991667,0.185313,8.000339,4.000000
failure_mining,128,SparseVLM-Original,topk,FM-SPARSE-ORIG-128,15,100,33.780000,0.000000,0.891979,0.058646,7.974661,3.980000
failure_mining,128,SparseVLM-Original,topk,FM-SPARSE-ORIG-128,2,100,303.000000,0.000000,1.000000,0.526042,8.120335,4.000000
failure_mining,128,SparseVLM-Original,topk,FM-SPARSE-ORIG-128,6,100,103.650000,0.000000,1.000000,0.179948,8.362307,4.000000
failure_mining,128,Threshold-Fixed-k,threshold_fixed,FM-THRESHOLD-FIXED-128,15,100,32.420000,0.000000,0.854288,0.056285,7.641772,3.950000
failure_mining,128,Threshold-Fixed-k,threshold_fixed,FM-THRESHOLD-FIXED-128,2,100,303.000000,0.000000,0.997917,0.526042,8.270950,4.000000
failure_mining,128,Threshold-Fixed-k,threshold_fixed,FM-THRESHOLD-FIXED-128,6,100,105.570000,0.000000,0.973333,0.183281,7.884572,4.000000
failure_mining,64,Ours,mmr,FM-OURS-64,15,100,15.130000,0.000000,0.783819,0.026268,8.096846,3.910000
failure_mining,64,Ours,mmr,FM-OURS-64,2,100,66.000000,0.000000,0.922778,0.114583,7.595407,3.990000
failure_mining,64,Ours,mmr,FM-OURS-64,6,100,26.120000,0.000000,0.876892,0.045347,7.917061,3.980000
failure_mining,64,SparseVLM-Original,topk,FM-SPARSE-ORIG-64,15,100,15.680000,0.000000,0.775573,0.027222,8.109884,3.890000
failure_mining,64,SparseVLM-Original,topk,FM-SPARSE-ORIG-64,2,100,66.000000,0.000000,0.949167,0.114583,8.007699,4.000000
failure_mining,64,SparseVLM-Original,topk,FM-SPARSE-ORIG-64,6,100,26.750000,0.000000,0.866944,0.046441,7.829838,4.000000
failure_mining,64,Threshold-Adaptive,threshold_adaptive,FM-THRESHOLD-ADAPT-080,15,100,27.280000,0.000000,0.747431,0.047361,7.359903,3.930000
failure_mining,64,Threshold-Adaptive,threshold_adaptive,FM-THRESHOLD-ADAPT-080,2,100,43.800000,0.000000,0.798681,0.076042,7.349859,3.940000
failure_mining,64,Threshold-Adaptive,threshold_adaptive,FM-THRESHOLD-ADAPT-080,6,100,35.620000,0.000000,0.786233,0.061840,7.355494,3.940000
failure_mining,64,Threshold-Adaptive,threshold_adaptive,FM-THRESHOLD-ADAPT-085,15,100,28.030000,0.000000,0.748507,0.048663,7.257797,3.900000
failure_mining,64,Threshold-Adaptive,threshold_adaptive,FM-THRESHOLD-ADAPT-085,2,100,55.330000,0.000000,0.822691,0.096059,7.352248,3.970000
failure_mining,64,Threshold-Adaptive,threshold_adaptive,FM-THRESHOLD-ADAPT-085,6,100,42.480000,0.000000,0.809288,0.073750,7.345996,3.960000
failure_mining,64,Threshold-Adaptive,threshold_adaptive,FM-THRESHOLD-ADAPT-090,15,100,29.150000,0.000000,0.764219,0.050608,7.251257,3.940000
failure_mining,64,Threshold-Adaptive,threshold_adaptive,FM-THRESHOLD-ADAPT-090,2,100,73.460000,0.000000,0.857639,0.127535,7.377402,3.980000
failure_mining,64,Threshold-Adaptive,threshold_adaptive,FM-THRESHOLD-ADAPT-090,6,100,47.980000,0.000000,0.838819,0.083299,7.374743,3.980000
failure_mining,64,Threshold-Fixed-k,threshold_fixed,FM-THRESHOLD-FIXED-64,15,100,15.010000,0.000000,0.637969,0.026059,7.166374,3.820000
failure_mining,64,Threshold-Fixed-k,threshold_fixed,FM-THRESHOLD-FIXED-64,2,100,66.000000,0.000000,0.850347,0.114583,7.337629,3.990000
failure_mining,64,Threshold-Fixed-k,threshold_fixed,FM-THRESHOLD-FIXED-64,6,100,26.500000,0.000000,0.759132,0.046007,7.240267,3.990000
gqa,128,Ours,mmr,GQA-OURS-128,15,5000,32.929000,0.000000,0.927675,0.057169,8.187976,3.993200
gqa,128,Ours,mmr,GQA-OURS-128,2,5000,303.000000,0.000000,0.999642,0.526042,8.176962,4.000000
gqa,128,Ours,mmr,GQA-OURS-128,6,5000,106.469800,0.000000,0.993426,0.184843,7.967860,4.000000
gqa,128,SparseVLM-Original,topk,GQA-SPARSE-ORIG-128,15,5000,33.701800,0.000000,0.901398,0.058510,7.928293,3.989600
gqa,128,SparseVLM-Original,topk,GQA-SPARSE-ORIG-128,2,5000,303.000000,0.000000,0.999817,0.526042,8.127177,4.000000
gqa,128,SparseVLM-Original,topk,GQA-SPARSE-ORIG-128,6,5000,103.837800,0.000000,0.999018,0.180274,8.251778,4.000000
gqa,128,Threshold-Fixed-k,threshold_fixed,GQA-THRESHOLD-FIXED-128,15,5000,32.511000,0.000000,0.849687,0.056443,7.541123,3.981400
gqa,128,Threshold-Fixed-k,threshold_fixed,GQA-THRESHOLD-FIXED-128,2,5000,303.000000,0.000000,0.998367,0.526042,8.314177,4.000000
gqa,128,Threshold-Fixed-k,threshold_fixed,GQA-THRESHOLD-FIXED-128,6,5000,105.467000,0.000000,0.972123,0.183102,7.825250,4.000000
gqa,64,Ours,mmr,GQA-OURS-64,15,5000,15.198800,0.000000,0.785026,0.026387,8.015606,3.907000
gqa,64,Ours,mmr,GQA-OURS-64,2,5000,66.000000,0.000000,0.941658,0.114583,7.587439,3.996600
gqa,64,Ours,mmr,GQA-OURS-64,6,5000,26.124800,0.000000,0.889713,0.045356,7.871431,3.990600
gqa,64,SparseVLM-Original,topk,GQA-SPARSE-ORIG-64,15,5000,15.442200,0.000000,0.778135,0.026810,8.093133,3.888200
gqa,64,SparseVLM-Original,topk,GQA-SPARSE-ORIG-64,2,5000,66.000000,0.000000,0.955358,0.114583,8.025494,3.986600
gqa,64,SparseVLM-Original,topk,GQA-SPARSE-ORIG-64,6,5000,26.437400,0.000000,0.868753,0.045898,7.792497,3.977400
gqa,64,Threshold-Adaptive,threshold_adaptive,GQA-THRESHOLD-ADAPT-080,15,5000,27.307400,0.000000,0.764365,0.047409,7.277630,3.942600
gqa,64,Threshold-Adaptive,threshold_adaptive,GQA-THRESHOLD-ADAPT-080,2,5000,44.924000,0.000000,0.823559,0.077993,7.398111,3.972400
gqa,64,Threshold-Adaptive,threshold_adaptive,GQA-THRESHOLD-ADAPT-080,6,5000,37.282400,0.000000,0.814210,0.064726,7.368500,3.962200
gqa,64,Threshold-Adaptive,threshold_adaptive,GQA-THRESHOLD-ADAPT-085,15,5000,28.235800,0.000000,0.758106,0.049020,7.159366,3.952800
gqa,64,Threshold-Adaptive,threshold_adaptive,GQA-THRESHOLD-ADAPT-085,2,5000,57.285400,0.000000,0.843437,0.099454,7.347269,3.987000
gqa,64,Threshold-Adaptive,threshold_adaptive,GQA-THRESHOLD-ADAPT-085,6,5000,43.649000,0.000000,0.831914,0.075780,7.293990,3.982000
gqa,64,Threshold-Adaptive,threshold_adaptive,GQA-THRESHOLD-ADAPT-090,15,5000,29.163000,0.000000,0.764586,0.050630,7.088182,3.956000
gqa,64,Threshold-Adaptive,threshold_adaptive,GQA-THRESHOLD-ADAPT-090,2,5000,74.818200,0.000000,0.872691,0.129893,7.350819,3.995200
