dataset,run_id,method,tau,token_setting,sample_count,accuracy_or_score,f1,correct,total,recovery_rate,average_retained_tokens,min_retained_tokens,max_retained_tokens,prediction_file
GQA,GQA-OURS-128,Ours,,128,5000,0.6762,,3381,5000,,39.0,39,39,outputs/raw_results/gqa_ours_128/results/gqa/predictions/gqa_ours_128.jsonl
GQA,GQA-OURS-64,Ours,,64,5000,0.6248,,3124,5000,,18.0,18,18,outputs/raw_results/gqa_ours_64/results/gqa/predictions/gqa_ours_64.jsonl
GQA,GQA-THRESHOLD-ADAPT-080,Threshold-Adaptive,0.8,64,5000,0.6284,,3142,5000,,33.1782,25,35,outputs/raw_results/gqa_thres_080/results/gqa/predictions/gqa_threshold_adaptive_tau080.jsonl
GQA,GQA-THRESHOLD-ADAPT-085,Threshold-Adaptive,0.85,64,5000,0.6368,,3184,5000,,33.6804,29,35,outputs/raw_results/gqa_thres_085/results/gqa/predictions/gqa_threshold_adaptive_tau085.jsonl
GQA,GQA-THRESHOLD-ADAPT-090,Threshold-Adaptive,0.9,64,5000,0.6406,,3203,5000,,34.1028,30,35,outputs/raw_results/gqa_thres_090/results/gqa/predictions/gqa_threshold_adaptive_tau090.jsonl
POPE,POPE-OURS-128,Ours,,128,1500,0.8526666666666667,0.8659793814432989,,1500,,39.0,39,39,outputs/raw_results/pope_ours_128/results/pope/predictions/pope_ours_128.jsonl
POPE,POPE-OURS-64,Ours,,64,1500,0.83,0.8409232688708671,,1500,,18.0,18,18,outputs/raw_results/pope_ours_64/results/pope/predictions/pope_ours_64.jsonl
POPE,POPE-THRESHOLD-ADAPT-080,Threshold-Adaptive,0.8,64,1500,0.824,0.8335435056746533,,1500,,33.182,30,35,outputs/raw_results/pope_thres_080/results/pope/predictions/pope_threshold_adaptive_tau080.jsonl
POPE,POPE-THRESHOLD-ADAPT-085,Threshold-Adaptive,0.85,64,1500,0.834,0.841502227880331,,1500,,33.616,30,35,outputs/raw_results/pope_thres_085/results/pope/predictions/pope_threshold_adaptive_tau085.jsonl
POPE,POPE-THRESHOLD-ADAPT-090,Threshold-Adaptive,0.9,64,1500,0.8353333333333334,0.8431746031746032,,1500,,34.106,31,35,outputs/raw_results/pope_thres_090/results/pope/predictions/pope_threshold_adaptive_tau090.jsonl
Failure-mining,FM-OURS-128,Ours,,128,100,0.79,,79,100,0.09523809523809523,39.0,39,39,outputs/raw_results/fm_ours_128/results/failure_mining/predictions/failure_mining_ours_128.jsonl
Failure-mining,FM-OURS-64,Ours,,64,100,0.75,,75,100,0.3333333333333333,18.0,18,18,outputs/raw_results/fm_ours_64/results/failure_mining/predictions/failure_mining_ours_64.jsonl
Failure-mining,FM-THRESHOLD-ADAPT-080,Threshold-Adaptive,0.8,64,100,0.75,,75,100,0.3,33.18,28,35,outputs/raw_results/fm_thres_080/results/failure_mining/predictions/failure_mining_threshold_adaptive_tau080.jsonl
Failure-mining,FM-THRESHOLD-ADAPT-085,Threshold-Adaptive,0.85,64,100,0.73,,73,100,0.3,33.61,31,35,outputs/raw_results/fm_thres_085/results/failure_mining/predictions/failure_mining_threshold_adaptive_tau085.jsonl
Failure-mining,FM-THRESHOLD-ADAPT-090,Threshold-Adaptive,0.9,64,100,0.75,,75,100,0.3,34.02,31,35,outputs/raw_results/fm_thres_090/results/failure_mining/predictions/failure_mining_threshold_adaptive_tau090.jsonl
