dataset,run_id,method,selection_method,token_setting,tau,sample_count,correctness,correct,incorrect,failure_type_binary_mismatch,failure_type_open_answer_mismatch,failure_type_empty_answer,baseline_run_id,recovered_baseline_failures,recovery_rate,regressions_vs_baseline,sparse_wrong_count,sparse_wrong_ours_right,sparse_wrong_threshold_right,sparse_wrong_both_not_fixed,average_retained_tokens,min_retained_tokens,max_retained_tokens,prediction_file
Failure-mining,FM-DENSE-576,Dense / Vanilla,dense,576,,100,0.78,78,22,4,18,0,,,,,,,,,576.0,576,576,outputs/raw_results/fm_dense_576/results/failure_mining/predictions/failure_mining_dense_576.jsonl
Failure-mining,FM-SPARSE-ORIG-128,SparseVLM-Original,topk,128,,100,0.79,79,21,2,19,0,FM-SPARSE-ORIG-128,0,0.0,0,21,2,2,19,39.0,39,39,outputs/raw_results/fm_sparse_128/results/failure_mining/predictions/failure_mining_sparsevlm_original_128.jsonl
Failure-mining,FM-SPARSE-ORIG-64,SparseVLM-Original,topk,64,,100,0.7,70,30,6,24,0,FM-SPARSE-ORIG-64,0,0.0,0,30,10,7,20,18.0,18,18,outputs/raw_results/fm_sparse_64/results/failure_mining/predictions/failure_mining_sparsevlm_original_64.jsonl
Failure-mining,FM-OURS-128,Ours,mmr,128,,100,0.79,79,21,4,17,0,FM-SPARSE-ORIG-128,2,0.09523809523809523,2,21,2,2,19,39.0,39,39,outputs/raw_results/fm_ours_128/results/failure_mining/predictions/failure_mining_ours_128.jsonl
Failure-mining,FM-OURS-64,Ours,mmr,64,,100,0.75,75,25,4,21,0,FM-SPARSE-ORIG-64,10,0.3333333333333333,5,30,10,7,20,18.0,18,18,outputs/raw_results/fm_ours_64/results/failure_mining/predictions/failure_mining_ours_64.jsonl
Failure-mining,FM-THRESHOLD-FIXED-128,Threshold-Fixed-k,threshold_fixed,128,,100,0.74,74,26,6,20,0,FM-SPARSE-ORIG-128,2,0.09523809523809523,7,21,2,2,19,39.0,39,39,outputs/raw_results/fm_thres_128/results/failure_mining/predictions/failure_mining_threshold_fixed_128.jsonl
Failure-mining,FM-THRESHOLD-FIXED-64,Threshold-Fixed-k,threshold_fixed,64,,100,0.7,70,30,5,25,0,FM-SPARSE-ORIG-64,7,0.23333333333333334,7,30,10,7,20,18.0,18,18,outputs/raw_results/fm_thres_64/results/failure_mining/predictions/failure_mining_threshold_fixed_64.jsonl
Failure-mining,FM-THRESHOLD-ADAPT-080,Threshold-Adaptive,threshold_adaptive,64,0.8,100,0.75,75,25,4,21,0,FM-SPARSE-ORIG-64,9,0.3,4,30,10,7,20,33.18,28,35,outputs/raw_results/fm_thres_080/results/failure_mining/predictions/failure_mining_threshold_adaptive_tau080.jsonl
Failure-mining,FM-THRESHOLD-ADAPT-085,Threshold-Adaptive,threshold_adaptive,64,0.85,100,0.73,73,27,4,23,0,FM-SPARSE-ORIG-64,9,0.3,6,30,10,7,20,33.61,31,35,outputs/raw_results/fm_thres_085/results/failure_mining/predictions/failure_mining_threshold_adaptive_tau085.jsonl
Failure-mining,FM-THRESHOLD-ADAPT-090,Threshold-Adaptive,threshold_adaptive,64,0.9,100,0.75,75,25,4,21,0,FM-SPARSE-ORIG-64,9,0.3,4,30,10,7,20,34.02,31,35,outputs/raw_results/fm_thres_090/results/failure_mining/predictions/failure_mining_threshold_adaptive_tau090.jsonl
