evaluation_group,dataset,run_id,method,selection_method,token_setting,tau,sample_count,source_sample_count,accuracy_or_score,f1,correct,total,recovery_rate,failure_type_binary_mismatch,failure_type_open_answer_mismatch,failure_type_empty_answer,sparse_wrong_ours_right,sparse_wrong_threshold_right,sparse_wrong_both_not_fixed,average_retained_tokens,min_retained_tokens,max_retained_tokens,prediction_file
main_fixed_budget,GQA,GQA-DENSE-576,Dense / Vanilla,dense,576,,5000,5000,0.7148,,3574,5000,,,,,,,,576.0,576,576,outputs/raw_results/gqa_dense/results/gqa/predictions/gqa_dense_576.jsonl
main_fixed_budget,GQA,GQA-SPARSE-ORIG-128,SparseVLM-Original,topk,128,,5000,5000,0.6608,,3304,5000,,,,,,,,39.0,39,39,outputs/raw_results/gqa_sparse_128/results/gqa/predictions/gqa_sparsevlm_original_128.jsonl
main_fixed_budget,GQA,GQA-SPARSE-ORIG-64,SparseVLM-Original,topk,64,,5000,5000,0.6062,,3031,5000,,,,,,,,18.0,18,18,outputs/raw_results/gqa_sparse_64/results/gqa/predictions/gqa_sparsevlm_original_64.jsonl
main_fixed_budget,GQA,GQA-OURS-128,Ours,mmr,128,,5000,5000,0.6762,,3381,5000,,,,,,,,39.0,39,39,outputs/raw_results/gqa_ours_128/results/gqa/predictions/gqa_ours_128.jsonl
main_fixed_budget,GQA,GQA-OURS-64,Ours,mmr,64,,5000,5000,0.6248,,3124,5000,,,,,,,,18.0,18,18,outputs/raw_results/gqa_ours_64/results/gqa/predictions/gqa_ours_64.jsonl
main_fixed_budget,GQA,GQA-THRESHOLD-FIXED-128,Threshold-Fixed-k,threshold_fixed,128,,5000,5000,0.681,,3405,5000,,,,,,,,39.0,39,39,outputs/raw_results/gqa_thres_128/results/gqa/predictions/gqa_threshold_fixed_128.jsonl
main_fixed_budget,GQA,GQA-THRESHOLD-FIXED-64,Threshold-Fixed-k,threshold_fixed,64,,5000,5000,0.632,,3160,5000,,,,,,,,18.0,18,18,outputs/raw_results/gqa_thres_64/results/gqa/predictions/gqa_threshold_fixed_64.jsonl
adaptive_threshold,GQA,GQA-THRESHOLD-ADAPT-080,Threshold-Adaptive,threshold_adaptive,64,0.8,5000,5000,0.6284,,3142,5000,,,,,,,,33.1782,25,35,outputs/raw_results/gqa_thres_080/results/gqa/predictions/gqa_threshold_adaptive_tau080.jsonl
adaptive_threshold,GQA,GQA-THRESHOLD-ADAPT-085,Threshold-Adaptive,threshold_adaptive,64,0.85,5000,5000,0.6368,,3184,5000,,,,,,,,33.6804,29,35,outputs/raw_results/gqa_thres_085/results/gqa/predictions/gqa_threshold_adaptive_tau085.jsonl
adaptive_threshold,GQA,GQA-THRESHOLD-ADAPT-090,Threshold-Adaptive,threshold_adaptive,64,0.9,5000,5000,0.6406,,3203,5000,,,,,,,,34.1028,30,35,outputs/raw_results/gqa_thres_090/results/gqa/predictions/gqa_threshold_adaptive_tau090.jsonl
main_fixed_budget,POPE,POPE-DENSE-576,Dense / Vanilla,dense,576,,1500,8910,0.8653333333333333,0.8760736196319019,1298,1500,,,,,,,,576.0,576,576,outputs/raw_results/pope_full_dense/results/pope/predictions/pope_dense_576.jsonl
main_fixed_budget,POPE,POPE-SPARSE-ORIG-128,SparseVLM-Original,topk,128,,1500,1500,0.8533333333333334,0.8631840796019902,1280,1500,,,,,,,,39.0,39,39,outputs/raw_results/pope_sparse_128/results/pope/predictions/pope_sparsevlm_original_128.jsonl
main_fixed_budget,POPE,POPE-SPARSE-ORIG-64,SparseVLM-Original,topk,64,,1500,1500,0.81,0.8181238034460753,1215,1500,,,,,,,,18.0,18,18,outputs/raw_results/pope_sparse_64/results/pope/predictions/pope_sparsevlm_original_64.jsonl
main_fixed_budget,POPE,POPE-OURS-128,Ours,mmr,128,,1500,1500,0.8526666666666667,0.8659793814432989,1279,1500,,,,,,,,39.0,39,39,outputs/raw_results/pope_ours_128/results/pope/predictions/pope_ours_128.jsonl
main_fixed_budget,POPE,POPE-OURS-64,Ours,mmr,64,,1500,1500,0.83,0.8409232688708671,1245,1500,,,,,,,,18.0,18,18,outputs/raw_results/pope_ours_64/results/pope/predictions/pope_ours_64.jsonl
main_fixed_budget,POPE,POPE-THRESHOLD-FIXED-128,Threshold-Fixed-k,threshold_fixed,128,,1500,1500,0.8506666666666667,0.8640776699029127,1276,1500,,,,,,,,39.0,39,39,outputs/raw_results/pope_thres_128/results/pope/predictions/pope_threshold_fixed_128.jsonl
main_fixed_budget,POPE,POPE-THRESHOLD-FIXED-64,Threshold-Fixed-k,threshold_fixed,64,,1500,1500,0.8433333333333334,0.8533998752339363,1265,1500,,,,,,,,18.0,18,18,outputs/raw_results/pope_thres_64/results/pope/predictions/pope_threshold_fixed_64.jsonl
adaptive_threshold,POPE,POPE-THRESHOLD-ADAPT-080,Threshold-Adaptive,threshold_adaptive,64,0.8,1500,1500,0.824,0.8335435056746533,,1500,,,,,,,,33.182,30,35,outputs/raw_results/pope_thres_080/results/pope/predictions/pope_threshold_adaptive_tau080.jsonl
adaptive_threshold,POPE,POPE-THRESHOLD-ADAPT-085,Threshold-Adaptive,threshold_adaptive,64,0.85,1500,1500,0.834,0.841502227880331,,1500,,,,,,,,33.616,30,35,outputs/raw_results/pope_thres_085/results/pope/predictions/pope_threshold_adaptive_tau085.jsonl
adaptive_threshold,POPE,POPE-THRESHOLD-ADAPT-090,Threshold-Adaptive,threshold_adaptive,64,0.9,1500,1500,0.8353333333333334,0.8431746031746032,,1500,,,,,,,,34.106,31,35,outputs/raw_results/pope_thres_090/results/pope/predictions/pope_threshold_adaptive_tau090.jsonl
