evaluation_group,dataset,run_id,method,selection_method,token_setting,sample_count,timed_sample_count,mean_inference_seconds,median_inference_seconds,std_inference_seconds,min_inference_seconds,max_inference_seconds,mean_retained_token_count,prediction_file
main_fixed_budget,GQA,GQA-DENSE-576,Dense / Vanilla,dense,576,5000,5000,1.578844,1.554427,0.100258,1.482090,5.344965,576,outputs/raw_results/gqa_dense/results/gqa/predictions/gqa_dense_576.jsonl
main_fixed_budget,GQA,GQA-SPARSE-ORIG-128,SparseVLM-Original,topk,128,5000,5000,0.706939,0.690595,0.044124,0.635331,1.465262,39,outputs/raw_results/gqa_sparse_128/results/gqa/predictions/gqa_sparsevlm_original_128.jsonl
main_fixed_budget,GQA,GQA-SPARSE-ORIG-64,SparseVLM-Original,topk,64,5000,5000,0.562979,0.557601,0.045928,0.517203,1.325804,18,outputs/raw_results/gqa_sparse_64/results/gqa/predictions/gqa_sparsevlm_original_64.jsonl
main_fixed_budget,GQA,GQA-OURS-128,Ours,mmr,128,5000,5000,0.911465,0.893771,0.067912,0.828239,4.507911,39,outputs/raw_results/gqa_ours_128/results/gqa/predictions/gqa_ours_128.jsonl
main_fixed_budget,GQA,GQA-OURS-64,Ours,mmr,64,5000,5000,0.591904,0.588141,0.044506,0.547271,1.306865,18,outputs/raw_results/gqa_ours_64/results/gqa/predictions/gqa_ours_64.jsonl
main_fixed_budget,GQA,GQA-THRESHOLD-FIXED-128,Threshold-Fixed-k,threshold_fixed,128,5000,5000,0.791484,0.772910,0.053532,0.716853,2.830328,39,outputs/raw_results/gqa_thres_128/results/gqa/predictions/gqa_threshold_fixed_128.jsonl
main_fixed_budget,GQA,GQA-THRESHOLD-FIXED-64,Threshold-Fixed-k,threshold_fixed,64,5000,5000,0.592225,0.584962,0.068164,0.539188,4.181398,18,outputs/raw_results/gqa_thres_64/results/gqa/predictions/gqa_threshold_fixed_64.jsonl
main_fixed_budget,POPE,POPE-DENSE-576,Dense / Vanilla,dense,576,1500,1500,2.813317,2.807723,0.312512,2.010416,5.719991,576,outputs/raw_results/pope_full_dense/results/pope/predictions/pope_dense_576.jsonl
main_fixed_budget,POPE,POPE-SPARSE-ORIG-128,SparseVLM-Original,topk,128,1500,1500,1.960984,1.953002,0.329987,1.162132,2.708456,39,outputs/raw_results/pope_sparse_128/results/pope/predictions/pope_sparsevlm_original_128.jsonl
main_fixed_budget,POPE,POPE-SPARSE-ORIG-64,SparseVLM-Original,topk,64,1500,1500,1.802629,1.836908,0.357230,1.048595,5.431160,18,outputs/raw_results/pope_sparse_64/results/pope/predictions/pope_sparsevlm_original_64.jsonl
main_fixed_budget,POPE,POPE-OURS-128,Ours,mmr,128,1500,1500,2.148416,2.135232,0.349419,1.342803,5.690382,39,outputs/raw_results/pope_ours_128/results/pope/predictions/pope_ours_128.jsonl
main_fixed_budget,POPE,POPE-OURS-64,Ours,mmr,64,1500,1500,1.836499,1.833682,0.363156,1.080188,2.678552,18,outputs/raw_results/pope_ours_64/results/pope/predictions/pope_ours_64.jsonl
main_fixed_budget,POPE,POPE-THRESHOLD-FIXED-128,Threshold-Fixed-k,threshold_fixed,128,1500,1500,1.995122,1.982736,0.332206,1.216253,2.702097,39,outputs/raw_results/pope_thres_128/results/pope/predictions/pope_threshold_fixed_128.jsonl
main_fixed_budget,POPE,POPE-THRESHOLD-FIXED-64,Threshold-Fixed-k,threshold_fixed,64,1500,1500,1.849600,1.853393,0.358189,1.063318,2.732464,18,outputs/raw_results/pope_thres_64/results/pope/predictions/pope_threshold_fixed_64.jsonl
adaptive_threshold,GQA,GQA-THRESHOLD-ADAPT-080,Threshold-Adaptive,threshold_adaptive,64,5000,5000,0.602188,0.603738,0.061026,0.526265,3.440665,33.178200,outputs/raw_results/gqa_thres_080/results/gqa/predictions/gqa_threshold_adaptive_tau080.jsonl
adaptive_threshold,GQA,GQA-THRESHOLD-ADAPT-085,Threshold-Adaptive,threshold_adaptive,64,5000,5000,0.603446,0.604603,0.046234,0.525894,1.286387,33.680400,outputs/raw_results/gqa_thres_085/results/gqa/predictions/gqa_threshold_adaptive_tau085.jsonl
adaptive_threshold,GQA,GQA-THRESHOLD-ADAPT-090,Threshold-Adaptive,threshold_adaptive,64,5000,5000,0.617840,0.615092,0.063910,0.552127,3.717500,34.102800,outputs/raw_results/gqa_thres_090/results/gqa/predictions/gqa_threshold_adaptive_tau090.jsonl
adaptive_threshold,POPE,POPE-THRESHOLD-ADAPT-080,Threshold-Adaptive,threshold_adaptive,64,1500,1500,1.875274,1.892596,0.375359,1.068755,5.771296,33.182000,outputs/raw_results/pope_thres_080/results/pope/predictions/pope_threshold_adaptive_tau080.jsonl
adaptive_threshold,POPE,POPE-THRESHOLD-ADAPT-085,Threshold-Adaptive,threshold_adaptive,64,1500,1500,1.890959,1.908182,0.355506,1.076064,2.694339,33.616000,outputs/raw_results/pope_thres_085/results/pope/predictions/pope_threshold_adaptive_tau085.jsonl
adaptive_threshold,POPE,POPE-THRESHOLD-ADAPT-090,Threshold-Adaptive,threshold_adaptive,64,1500,1500,1.890223,1.898376,0.348734,1.092929,2.456946,34.106000,outputs/raw_results/pope_thres_090/results/pope/predictions/pope_threshold_adaptive_tau090.jsonl
